B13:1
B14:1
B15:1
B16:1
B17:1
B18:1
B19:1
B20:1
B21:1
B22:1
B23:1
B24:1
B25:1
C10:1
C12:1
C14:1
C2:1
C27:1
C28:1
C29:1
C30:1
C31:1
C32:1
C33:1
C34:1
C35:1
C36:1
C37:1
C38:1
C39:1
C4:1
C40:1
C42:1
C6:1
C8:1
D1:1
G***:2
J1:1
J2:1
L1:1
Q2:1
R10:1
R11:1
R12:1
R52:1
R53:1
R54:1
R55:1
R56:1
R57:1
R58:1
R59:1
R6:1
R60:1
R61:1
R62:1
R63:1
R64:1
R65:1
R66:1
R67:1
R68:1
R69:1
R70:1
R71:1
R72:1
R73:1
R74:1
R75:1
R76:1
R77:1
R78:1
R79:1
R8:1
R80:1
R81:1
R82:1
R83:1
R84:1
R85:1
R86:1
R87:1
R88:1
R89:1
R9:1
R90:1
R91:1
R92:1
R93:1
R94:1
R96:1
R98:1
T1:1
U10:1
U3:1
U4:1
U7:1
U8:1
